,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing
count,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,10550.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,12938.0,15000.0,15000.0,2217.0,15000.0
mean,246807.48013333333,27.423666666666666,0.5510634200000001,0.6562313564466666,5.287866666666667,-8.894999333333333,0.6313744075829384,0.08377919333333332,0.30389588141266666,0.28673400805666666,0.21679014666666668,0.43685259553333333,123.1165436,246794.68353333333,3.876178698407791,501.8623333333333,128.3934,0.49047857465042854,2.199647472657103
std,127994.05482558132,18.587533626492156,0.19423903209879398,0.2643711250838603,3.5850229578338966,6.0057990274175905,0.4824550008648653,0.0867092208034846,0.3295359584164449,0.3829303221187914,0.19529505158790755,0.2772201403132885,31.93095844871446,127984.99127234456,0.5664909347864938,280.6898040523776,75.11390978420401,0.29133029504120883,1.2126160071135048
min,8586.0,0.0,0.0,0.0,0.0,-49.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8587.0,0.0,0.0,0.0,0.0,0.7481162540365985
25%,180000.0,14.0,0.441,0.48,2.0,-10.63625,0.0,0.0373,0.009745,0.0,0.0979,0.196,99.939,180000.0,4.0,327.0,83.0,0.23,1.1709531013615733
50%,227826.0,24.0,0.58,0.709,5.0,-7.303,1.0,0.051,0.155,0.00313,0.131,0.416,124.188,227818.5,4.0,461.0,117.0,0.48,1.7389162561576357
75%,288903.0,42.0,0.695,0.884,8.0,-5.101,1.0,0.0886,0.573,0.744,0.28,0.664,141.98649999999998,288903.0,4.0,625.0,159.0,0.739,3.349056603773585
max,4120258.0,94.0,0.98,1.0,11.0,3.156,1.0,0.939,0.996,1.0,0.994,0.995,220.525,4120258.0,5.0,7348.0,2170.0,1.0,4.067085953878407
