clusteringColumn,value
kModes=2,0.010224862901066424
kModes=3,0.014447775472179871
kModes=4,0.018602458047449505
kModes=5,0.022687218095049595
kModes=6,0.026638342068466596
kModes=7,0.030450362512683408
kModes=8,0.03420648692039166
kModes=9,0.03769461652910454
kModes=10,0.045321456187619624
kModes=11,0.048830812157908084
kModes=12,0.05163273172900057
kModes=13,0.054153520425245565
kModes=14,0.056501567926768984
kModes=15,0.059100733462885094
kModes=16,0.061494415830249456
kModes=17,0.06372897023913046
kModes=18,0.06590499520805336
kModes=19,0.06836011541516289
kModes=20,0.07052809012695789
kModes=21,0.072489987313876
kModes=22,0.07495302720491653
kModes=23,0.07703830250197154
kModes=24,0.0793919764942296
kModes=25,0.08156138234475753
kModes=26,0.08381919912659613
kModes=27,0.08617572216692244
kModes=28,0.08857374368810877
kModes=29,0.09086187151521904
kModes=30,0.09296405573710362
kModes=31,0.09527981848947646
kModes=32,0.09764044530534853
kModes=33,0.09996998114977407
kModes=34,0.10210616970123565
kModes=35,0.10434764205376892
kModes=36,0.10667841025066581
kModes=37,0.10913797724085075
kModes=38,0.11136702721437941
kModes=39,0.11333118256084729
kModes=40,0.11538820954685738
kModes=41,0.11751987806929354
kModes=42,0.11963031864066857
kModes=43,0.12175734999107757
kModes=44,0.12403370398983
kModes=45,0.1260780419031591
kModes=46,0.1280380040907299
kModes=47,0.12987168547634315
kModes=48,0.1319736319713351
kModes=49,0.13391172833758885
kModes=50,0.13585491007093847
