clustering type,value
hdbscan min_samples=4 min_cluster_size=5,0.24710732154509416
hdbscan min_samples=4 min_cluster_size=6,0.24710732154509416
hdbscan min_samples=4 min_cluster_size=7,0.24710732154509416
hdbscan min_samples=4 min_cluster_size=8,0.18568198517056644
hdbscan min_samples=4 min_cluster_size=9,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=10,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=11,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=12,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=13,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=14,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=15,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=16,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=17,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=18,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=19,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=20,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=21,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=22,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=23,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=24,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=25,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=26,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=27,0.19380363028227374
hdbscan min_samples=4 min_cluster_size=28,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=29,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=30,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=31,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=32,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=33,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=34,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=35,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=36,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=37,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=38,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=39,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=40,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=41,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=42,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=43,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=44,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=45,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=46,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=47,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=48,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=49,-0.05316179763770213
hdbscan min_samples=4 min_cluster_size=50,-0.05316179763770213
hdbscan min_samples=5 min_cluster_size=2,0.24513694433495428
hdbscan min_samples=5 min_cluster_size=3,0.24513694433495428
hdbscan min_samples=5 min_cluster_size=4,0.09489607523114366
hdbscan min_samples=5 min_cluster_size=5,0.09489607523114366
hdbscan min_samples=5 min_cluster_size=6,0.09489607523114366
hdbscan min_samples=5 min_cluster_size=7,0.09489607523114366
hdbscan min_samples=5 min_cluster_size=8,0.13220260350504437
hdbscan min_samples=5 min_cluster_size=9,0.13220260350504437
hdbscan min_samples=5 min_cluster_size=10,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=11,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=12,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=13,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=14,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=15,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=16,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=17,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=18,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=19,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=20,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=21,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=22,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=23,0.1945190261101329
hdbscan min_samples=5 min_cluster_size=24,-0.058270959519975685
hdbscan min_samples=5 min_cluster_size=25,-0.058270959519975685
hdbscan min_samples=5 min_cluster_size=26,-0.058270959519975685
hdbscan min_samples=5 min_cluster_size=27,-0.058270959519975685
hdbscan min_samples=5 min_cluster_size=28,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=29,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=30,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=31,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=32,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=33,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=34,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=35,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=36,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=37,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=38,-0.05594209447296132
hdbscan min_samples=5 min_cluster_size=39,-0.05594209447296132
