name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
不是我不明白,281573.0,False,50.0,Fish Leong;Crowd Lu,親親,0.625,0.341,7.0,-6.949,1.0,0.0291,0.796,0.0,0.0764,0.199,130.127,4.0
When You Wish Upon a Star,183427.0,False,9.0,Serph,Disney Glitter Melodies,0.381,0.305,1.0,-17.556,1.0,0.0314,0.0523,0.0456,0.318,0.24,79.943,4.0
Plonk II,382111.0,False,20.0,Huerco S.,Plonk,0.423,0.686,9.0,-13.021,0.0,0.0734,0.3,0.884,0.322,0.959,88.625,4.0
English Breakfast,144000.0,False,32.0,Jobii,English Breakfast,0.796,0.626,5.0,-6.637,0.0,0.122,0.0337,0.837,0.107,0.638,80.009,4.0
The Underground - Hatiras Remix,423344.0,False,0.0,DJ Pierre;My Digital Enemy;Hatiras,"Mono:Disko, Vol. 12",0.979,0.517,8.0,-7.448,1.0,0.303,0.000372,0.754,0.0354,0.492,123.995,4.0
Um Sonho de Amor,153412.0,False,48.0,Limão Com Mel;Wesley Safadão,Estúdio Limão,0.699,0.786,0.0,-5.8,1.0,0.042,0.562,5.21e-06,0.444,0.69,105.994,4.0
Suffer,336053.0,False,16.0,IFÁ;Okwei V. Odili,IFÁ Afrobeat + Okwei V. Odili,0.718,0.748,9.0,-9.315,0.0,0.0367,0.0885,5.72e-05,0.0779,0.963,99.014,4.0
疼惜我的吻,249880.0,False,21.0,音樂磁場,音樂磁場15-台語名曲經典,0.603,0.318,1.0,-17.624,0.0,0.0333,0.168,3.36e-06,0.114,0.158,116.994,3.0
Crying My Heart Out Over You (excerpt),178267.0,False,47.0,Ricky Skaggs,Super Hits,0.595,0.407,7.0,-9.536,1.0,0.0272,0.49,2.67e-05,0.0959,0.702,127.507,4.0
Als We Gaan,214000.0,False,20.0,Lawineboys,10 Jaar Lawinegevaar,0.618,0.96,5.0,-4.161,0.0,0.105,0.21,0.0,0.214,0.583,138.034,4.0
Iran Iraq,241771.0,False,2.0,Mahdyar,Seized,0.141,0.808,5.0,-5.082,1.0,0.0855,0.175,0.0127,0.0666,0.312,87.241,5.0
Ewa,251147.0,False,15.0,Tony Allen,Film Of Life,0.692,0.884,1.0,-8.655,1.0,0.0632,0.0317,0.885,0.087,0.19,112.976,4.0
Ondas Cerebrales Delta,359003.0,False,16.0,Ondas Delta,"Abre Tu Mente: Música con Sonidos Binaurales y Ondas Cerebrales, Creatividad y Memoria",0.312,0.033,9.0,-25.894,1.0,0.0307,0.853,0.851,0.114,0.0639,79.655,4.0
Descubriendote,176720.0,False,29.0,Rosana,Lunas Rotas: De casa a las ventas (Standard version),0.542,0.388,2.0,-8.589,1.0,0.0352,0.77,0.0,0.144,0.386,74.874,4.0
Out of Space - Audio Bullys Remix,296680.0,False,19.0,The Prodigy;Audio Bullys,Voodoo People / Out of Space,0.712,0.849,9.0,-4.16,1.0,0.0918,0.00243,0.000485,0.359,0.701,126.93,4.0
Alright Here We Go!,120439.0,False,30.0,The Prophet,Oldschool Hardcore,0.605,0.974,7.0,-4.576,1.0,0.178,0.000466,0.751,0.0543,0.0395,182.029,4.0
Between Us,168064.0,False,19.0,Kyson,Lucky Notes,0.45,0.462,8.0,-8.016,1.0,0.0325,0.0421,1.4e-05,0.104,0.165,166.025,4.0
Never ending,231625.0,False,15.0,TRiDENT,再構創Ⅱ,0.257,0.974,6.0,-2.178,0.0,0.19,5.63e-05,0.0,0.0996,0.403,194.663,4.0
Shapeshifter (feat. Styles Of Beyond),217226.0,False,58.0,Celldweller;Styles Of Beyond,Celldweller (Deluxe Edition),0.622,0.956,6.0,-3.658,1.0,0.133,0.00268,0.0,0.394,0.557,115.963,4.0
Tumhare Aane Se,208889.0,False,47.0,Ashu Shukla,Tumhare Aane Se,0.698,0.293,3.0,-10.413,1.0,0.0303,0.352,2.9e-05,0.101,0.867,108.08,4.0
Some Things Never Change (From 'Frozen 2'),150332.0,False,24.0,Little Piano Player,Frozen 2,0.375,0.0107,5.0,-32.055,1.0,0.0477,0.994,0.941,0.105,0.529,70.992,4.0
Gemini Pollux,137907.0,False,7.0,"Sarah, the Illstrumentalist",Constellations,0.824,0.416,11.0,-9.273,1.0,0.104,0.0137,0.479,0.549,0.351,86.021,4.0
Jesus Lover of My Soul - Live,215733.0,False,49.0,Hillsong Worship;Integrity's Hosanna! Music;Darlene Zschech,Shout to the Lord (Live),0.476,0.396,0.0,-10.916,1.0,0.026,0.31,0.0,0.658,0.199,72.157,4.0
Khone Do,239360.0,False,39.0,Prateek Kuhad,Shehron Ke Raaz,0.514,0.123,10.0,-11.512,1.0,0.0379,0.851,0.0394,0.127,0.169,122.782,4.0
STYLE SHOT,188035.0,False,15.0,Chronic Law;Daddy1;ATTOMATIC RECORDS,1law,0.824,0.524,5.0,-9.458,0.0,0.429,0.0444,0.0,0.23,0.831,97.943,4.0
Take Me 2 Wonderland - Radio Mix,212480.0,False,25.0,4 Tune Fairytales,Take Me 2 Wonderland,0.514,0.943,0.0,-7.325,1.0,0.0384,0.143,0.333,0.181,0.467,178.085,4.0
Let Go,218665.0,False,20.0,Stanton Warriors;Keith Thompson,Rise,0.673,0.801,10.0,-5.009,0.0,0.0435,0.0753,0.393,0.0979,0.453,127.953,4.0
We Don't Grow Tobacco,234520.0,False,27.0,Old Crow Medicine Show,Carry Me Back,0.696,0.623,5.0,-5.883,0.0,0.0352,0.649,0.0,0.0916,0.947,132.03,4.0
Teorema,186547.0,False,35.0,Legião Urbana,Legião Urbana 30 Anos,0.299,0.926,11.0,-6.13,0.0,0.0994,0.000442,0.116,0.0585,0.531,206.641,4.0
Aufs Schlimmste zu:Fur 7 Posaunen und Sprechende Musiker,186813.0,False,0.0,Kiawasch Sahebnassagh,Schlaflied unter der Ruine(Lalai zir-e Avar) - Music fur Ensemble & Computer,0.288,0.044,1.0,-16.281,0.0,0.04,0.991,0.391,0.344,0.0312,77.482,3.0
Expectativas,201460.0,False,44.0,3030,Expectativas,0.75,0.507,11.0,-9.219,0.0,0.058,0.798,0.0,0.31,0.897,136.937,4.0
Daisy Chains,254187.0,False,3.0,Audio Bullys,Higher Than the Eiffel,0.512,0.595,7.0,-6.194,1.0,0.0527,0.324,0.00726,0.0956,0.0405,142.577,4.0
glory colors 〜風のトビラ〜,261093.0,False,26.0,ZONE,E 〜Complete A side Singles〜,0.572,0.594,5.0,-4.971,1.0,0.0257,0.0913,0.0,0.368,0.43,101.998,4.0
Not a Word at Breakfast,178065.0,False,5.0,Kyson,Lucky Notes,0.554,0.253,10.0,-14.187,1.0,0.0353,0.895,0.00908,0.0777,0.23,136.02,4.0
Street Smart,153437.0,False,18.0,Bounty Killer,90's Swing Riddim,0.848,0.817,10.0,-5.328,0.0,0.259,0.0416,3.08e-06,0.0701,0.846,98.055,4.0
There's No One Left To Trust,399425.0,False,39.0,Charlotte de Witte,Rave On Time EP,0.784,0.653,1.0,-11.758,1.0,0.101,0.0203,0.894,0.106,0.0754,136.005,4.0
Purgations of Bodily Corruptions,263048.0,False,21.0,Hulder,Godslastering: Hymns of a Forlorn Peasantry,0.15,0.963,2.0,-7.212,1.0,0.0752,0.0955,0.287,0.0732,0.111,150.123,4.0
Limoncello,146526.0,False,44.0,Green Bicycle,Limoncello,0.605,0.482,10.0,-13.173,1.0,0.03,0.288,0.853,0.151,0.124,94.995,4.0
Problem (Glee Cast Version),194213.0,False,39.0,Glee Cast,"Glee: The Music, Homecoming",0.721,0.774,4.0,-6.063,1.0,0.139,0.0132,1.83e-06,0.303,0.719,103.057,4.0
Marketplace,331040.0,False,26.0,Hugh Masekela,Hope,0.696,0.249,5.0,-17.176,1.0,0.0559,0.678,1.56e-05,0.472,0.558,92.286,4.0
Nidstong,245067.0,False,17.0,Einherjer,"Av Oss, For Oss",0.378,0.917,7.0,-3.495,0.0,0.0438,1.83e-06,0.774,0.0465,0.379,139.992,4.0
Mastoor (Solo Flute),284378.0,False,0.0,Mehdi Khayami;Kelariz Keshavarz,"Iranian New Waves, Vol. I",0.411,0.0396,4.0,-23.961,0.0,0.107,0.945,0.0874,0.0728,0.0704,103.838,5.0
Volte Amor,264947.0,False,57.0,Tayrone Cigano,20 Super Sucessos: Tayrone Cigano,0.725,0.788,11.0,-5.558,1.0,0.0278,0.576,0.0,0.0645,0.858,135.012,4.0
Climax - Red Bull Symphonic,109726.0,False,21.0,Camo & Krooked,Red Bull Symphonic,0.334,0.888,9.0,-5.237,0.0,0.0397,0.049,0.276,0.898,0.341,87.524,4.0
Sitting In Limbo - Live,776427.0,False,22.0,Jerry Garcia Band;Jerry Garcia,Don't Let Go,0.592,0.605,0.0,-9.978,1.0,0.0406,0.438,0.13,0.425,0.743,130.251,4.0
First Up,146455.0,False,3.0,Matt Large,Stances,0.689,0.579,1.0,-7.835,1.0,0.243,0.0337,0.635,0.519,0.721,178.134,4.0
Al Otro Lado Del Río (342 Amazônia ao Vivo no Circo Voador),189387.0,False,20.0,Jorge Drexler,Al Otro Lado Del Río (342 Amazônia ao Vivo no Circo Voador),0.705,0.435,7.0,-12.185,1.0,0.0927,0.597,0.00149,0.933,0.535,124.705,4.0
Creer en Mí,218000.0,False,30.0,Green Valley,La Llave Maestra,0.639,0.696,10.0,-5.47,1.0,0.131,0.289,0.0,0.096,0.728,177.972,4.0
Aloha,187392.0,False,50.0,Carlos Sadness;Bomba Estéreo,Aloha,0.801,0.901,0.0,-5.544,1.0,0.102,0.102,0.000212,0.107,0.597,131.998,4.0
All Dat,169731.0,True,16.0,Intence,Public Enemy No. 1 Mixtape,0.554,0.793,6.0,-4.276,1.0,0.232,0.459,0.0,0.25,0.387,116.725,5.0
Unfettered,138149.0,False,22.0,Jobii,Unfettered,0.681,0.521,11.0,-8.444,0.0,0.0469,0.372,0.865,0.112,0.239,81.94,4.0
Diciembre,225413.0,False,23.0,La Oreja de Van Gogh,Diciembre,0.597,0.832,7.0,-4.762,0.0,0.0296,0.127,1.11e-06,0.199,0.501,144.926,4.0
It's Real,278507.0,False,23.0,Olivia Ong,Just for You,0.572,0.601,10.0,-7.411,1.0,0.0321,0.219,0.0,0.119,0.346,139.986,4.0
Si te cuentan que caí,312000.0,False,32.0,Miguel Bosé,Directo 90,0.542,0.604,11.0,-13.076,1.0,0.0502,0.0981,3.66e-06,0.968,0.223,94.001,4.0
Driving,287640.0,False,23.0,The Wailin' Jennys,Live at the Mauch Chunk Opera House,0.395,0.403,9.0,-12.939,1.0,0.042,0.823,5.18e-06,0.704,0.394,129.432,4.0
Baby U Decide,141921.0,False,38.0,高爾宣 OSN,Baby U Decide,0.75,0.781,2.0,-5.095,0.0,0.12,0.207,0.0,0.0962,0.56,139.959,4.0
Furor Diabolicus,283419.0,False,18.0,Watain,TRIDENT WOLF ECLIPSE,0.149,0.972,4.0,-10.998,1.0,0.102,4.66e-06,0.972,0.376,0.0988,157.146,4.0
Short Stories I,125880.0,False,0.0,Alireza Mashayekhi;Farimah Ghavamsadri,"Left Above the Clouds - Piano Classical Themes for Inflight Relaxation, Peace and Calm Music for Antistress Journey",0.352,0.04,2.0,-23.984,0.0,0.0515,0.992,0.915,0.11,0.123,64.985,3.0
No Devotion,412688.0,False,21.0,Revolting Cocks,Big Sexy Land,0.667,0.681,7.0,-12.684,1.0,0.0629,0.0944,0.0783,0.444,0.395,127.218,4.0
Hard Luck Joe,183880.0,False,15.0,Blue Moon Rising,Strange New World,0.641,0.699,0.0,-8.488,1.0,0.0292,0.568,0.000371,0.0944,0.934,101.062,4.0
Stonecutter,161854.0,False,29.0,Smartface,Dissolve,0.728,0.577,5.0,-7.552,0.0,0.0503,0.386,0.902,0.146,0.709,89.979,4.0
Beber para Creer,273380.0,False,26.0,Lepoka,El Baile de los Caídos,0.352,0.979,7.0,-3.598,0.0,0.156,1.94e-05,3.32e-06,0.304,0.44,170.057,4.0
Birds of a Feather,193387.0,False,27.0,Watchhouse,Haste Make / Hard Hearted Stranger,0.438,0.255,4.0,-12.576,1.0,0.028,0.893,0.00973,0.102,0.257,156.156,4.0
Sleep Aid: Sleep Ocean - Loopable,96595.0,False,38.0,Ocean Waves Sleep Aid,Relaxing Ocean Waves for Deep Sleep (Sleep Aid),0.176,0.432,0.0,-22.108,0.0,0.0796,0.692,0.909,0.145,0.0101,70.6,3.0
Sleep Aid: Sleep Ocean - Loopable,96595.0,False,38.0,Ocean Waves Sleep Aid,Relaxing Ocean Waves for Deep Sleep (Sleep Aid),0.176,0.432,0.0,-22.108,0.0,0.0796,0.692,0.909,0.145,0.0101,70.6,3.0
Sleep Aid: Deep Sleep - Loopable,96595.0,False,38.0,Ocean Waves Sleep Aid,Relaxing Ocean Waves for Deep Sleep (Sleep Aid),0.176,0.432,0.0,-22.108,0.0,0.0796,0.692,0.909,0.145,0.0101,70.6,3.0
Sleep Aid: Deep Sleep - Loopable,96595.0,False,38.0,Ocean Waves Sleep Aid,Relaxing Ocean Waves for Deep Sleep (Sleep Aid),0.176,0.432,0.0,-22.108,0.0,0.0796,0.692,0.909,0.145,0.0101,70.6,3.0
Sou Eu (Versão Grave),149304.0,False,21.0,Os Barões Da Pisadinha,Paredão Explode,0.766,0.816,2.0,-8.017,1.0,0.0445,0.0519,1.12e-05,0.0676,0.587,172.022,4.0
332 23t422,213813.0,False,14.0,Bogdan Raczynski,Rave 'Till You Cry,0.453,0.973,1.0,-4.242,1.0,0.149,0.00231,0.729,0.391,0.408,93.137,4.0
Protect My Life,179960.0,True,1.0,Jafrass,Life Changes,0.676,0.49,5.0,-6.796,0.0,0.198,0.767,6.64e-05,0.254,0.334,92.401,4.0
Deep Lat'n Soul,486850.0,False,6.0,Mike Dunn,Return Of Tha Lost Soul EP,0.798,0.844,1.0,-8.22,1.0,0.0465,2.76e-05,0.753,0.0569,0.456,125.009,4.0
"Wenn Ein Stern In Finst'rer Nacht - aus ""Pinocchio""/Deutscher Film-Soundtrack",194893.0,False,27.0,Chorus of Pinocchio,Pinocchio (Deutscher Original Film-Soundtrack),0.159,0.256,2.0,-13.429,1.0,0.0344,0.975,0.0159,0.324,0.0519,82.397,3.0
Como Quererte,176000.0,False,33.0,Cyclo,Confinad@s,0.777,0.463,6.0,-9.345,0.0,0.224,0.596,0.0,0.126,0.17,90.038,4.0
Fa-La-Nana,66973.0,False,37.0,Play School,It's Play School,0.762,0.0443,5.0,-21.792,1.0,0.0679,0.625,1.53e-05,0.0804,0.6,90.835,3.0
Solar,253793.0,False,14.0,Metrik,Metrik EP,0.394,0.991,0.0,-2.85,1.0,0.0873,0.000134,0.478,0.502,0.0667,173.982,4.0
It's Delicious,399840.0,False,31.0,3 Steps Ahead,Most Wanted and Mad,0.503,0.902,5.0,-6.962,1.0,0.0435,0.00262,0.0983,0.363,0.07,97.55,4.0
Nothing Stops Detroit,393439.0,False,33.0,Robert Hood,Mirror Man,0.702,0.867,10.0,-8.143,0.0,0.0568,4.7e-05,0.925,0.179,0.262,129.94,4.0
Scratching the Surface,283026.0,False,0.0,Siavash Amini;Hessam Ohadi;Nima Pourkarimi,Spotty Surfaces,0.318,0.792,11.0,-11.312,0.0,0.231,0.0154,0.951,0.102,0.151,119.723,4.0
Honour 2003,487693.0,False,22.0,VNV Nation,Honour 2003,0.555,0.951,1.0,-8.297,0.0,0.032,0.00605,0.454,0.218,0.707,131.994,4.0
Self-Reflection,170871.0,False,55.0,Apech,Self-Reflection,0.145,0.0114,8.0,-37.291,1.0,0.0382,0.962,0.901,0.114,0.0362,71.013,4.0
Old Father William,123913.0,False,0.0,Cameron's Bedtime Classics,Alice in Wonderland,0.27,0.308,0.0,-14.577,1.0,0.0365,0.928,0.899,0.135,0.171,137.634,4.0
Fires Roar in the Palace of the Moon,689693.0,False,22.0,Wolves In The Throne Room,Thrice Woven,0.112,0.944,7.0,-5.628,1.0,0.153,0.000139,0.817,0.0935,0.0342,151.694,4.0
Hichkiyaa,67500.0,False,44.0,Osho Jain,Wahaan,0.508,0.101,1.0,-18.458,0.0,0.0506,0.682,0.0,0.0887,0.122,127.548,4.0
Get Down Massive,325787.0,False,13.0,Freestylers,Pressure Point,0.731,0.92,6.0,-6.104,0.0,0.0489,0.0168,0.000196,0.0993,0.479,134.869,4.0
Tudo Tem Se Limite,272600.0,False,26.0,Cesária Evora,Best Of,0.641,0.306,7.0,-11.56,0.0,0.094,0.867,0.0,0.341,0.746,77.944,4.0
Man on Fire,438024.0,False,9.0,Glenn Underground,Man on Fire,0.707,0.86,6.0,-8.273,1.0,0.0488,0.0352,0.93,0.247,0.605,123.024,4.0
GOOD GYAL,187025.0,False,38.0,Eshconinco;Yemil;EL TACHI,GOOD GYAL,0.851,0.636,7.0,-4.609,1.0,0.237,0.104,0.0,0.156,0.684,95.004,4.0
Foi Amor,207273.0,False,48.0,Zé Vaqueiro,O Original,0.582,0.789,7.0,-1.97,1.0,0.135,0.632,0.0,0.0733,0.728,154.157,4.0
Black & Blue,225420.0,False,14.0,Freestylers;Blapps Posse;Laura Streel,Other Worlds,0.623,0.969,9.0,-2.925,1.0,0.0969,0.0225,0.0271,0.295,0.734,128.061,4.0
Buckingham,221484.0,False,41.0,WEDNESDAY CAMPANELLA,Neon,0.703,0.862,0.0,-5.015,1.0,0.0515,0.0105,0.00135,0.0444,0.825,144.946,4.0
Jasna Pustka,211063.0,True,16.0,Truchło Strzygi,Nad Którymi Nie Czuwa Żaden Stróż,0.0888,0.933,9.0,-5.682,1.0,0.0701,6.54e-06,0.0671,0.469,0.058,166.557,4.0
爱你在心口难开,170627.0,False,22.0,You Ya,千禧珍藏系列,0.541,0.477,0.0,-7.673,1.0,0.0281,0.901,0.014,0.142,0.591,104.636,4.0
Afrorumbachilenera,279377.0,False,22.0,Juanafé,Afrorumba Chilenera,0.588,0.745,9.0,-5.754,0.0,0.0886,0.515,0.0,0.179,0.432,95.071,4.0
Mama Says No,178133.0,False,26.0,The Steeldrivers,Bad For You,0.505,0.684,7.0,-8.142,1.0,0.0334,0.418,0.934,0.226,0.885,128.036,4.0
BazeFaze - SPLT SCND INTERLUDE RMX,64401.0,False,15.0,DJ Ruffneck;SPLT SCND,BazeFaze (SPLT SCND RMXS),0.41,0.92,11.0,-5.045,1.0,0.0648,0.0241,0.919,0.354,0.0846,150.005,4.0
BazeFaze - SPLT SCND INTERLUDE RMX,64401.0,False,15.0,DJ Ruffneck;SPLT SCND,BazeFaze (SPLT SCND RMXS),0.41,0.92,11.0,-5.045,1.0,0.0648,0.0241,0.919,0.354,0.0846,150.005,4.0
BazeFaze - SPLT SCND INTERLUDE RMX 11,64401.0,False,15.0,DJ Ruffneck;SPLT SCND,BazeFaze (SPLT SCND RMXS),0.41,0.92,11.0,-5.045,1.0,0.0648,0.0241,0.919,0.354,0.0846,150.005,4.0
BazeFaze - SPLT SCND INTERLUDE RMX 11,64401.0,False,15.0,DJ Ruffneck;SPLT SCND,BazeFaze (SPLT SCND RMXS),0.41,0.92,11.0,-5.045,1.0,0.0648,0.0241,0.919,0.354,0.0846,150.005,4.0
What a Night,148821.0,False,8.0,Justnormal,Not Your Normal Christmas,0.72,0.539,2.0,-9.195,0.0,0.0504,0.868,0.00128,0.115,0.258,84.965,4.0
愛就一個字,272380.0,False,49.0,Jeff Chang,我好想,0.566,0.504,0.0,-6.93,1.0,0.0357,0.725,0.0,0.139,0.202,120.908,4.0
諷刺的情書,258533.0,False,53.0,Hebe Tien,無人知曉,0.477,0.473,7.0,-6.35,1.0,0.0396,0.723,0.0,0.0754,0.431,155.875,4.0
Move Like the Dinosaurs,56764.0,False,61.0,Pinkfong,Pinkfong Dinosaur Songs,0.818,0.847,8.0,-3.213,1.0,0.0951,0.107,0.0,0.0834,0.712,124.959,4.0
Inside Out,270600.0,False,22.0,God Module,Viscera,0.473,0.955,6.0,-6.366,1.0,0.0368,0.000471,0.583,0.631,0.513,129.03,4.0
葡萄成熟時,277040.0,False,52.0,Eason Chan,U 87,0.521,0.567,10.0,-5.97,1.0,0.0307,0.417,0.0,0.183,0.223,125.194,4.0
サザン・ウインド - 30th anniversary mix,231493.0,False,28.0,Akina Nakamori,ベスト・コレクション 〜ラブ・ソングス&ポップ・ソングス〜,0.576,0.838,6.0,-4.208,1.0,0.0894,0.0305,0.000875,0.374,0.533,155.292,4.0
RELATE (R3HAB Remix),166667.0,False,45.0,for KING & COUNTRY;R3HAB,RELATE (R3HAB Remix),0.651,0.887,10.0,-4.67,1.0,0.111,0.109,0.0,0.0765,0.238,107.991,4.0
A Star Is Born - Japanese Version,122280.0,False,24.0,Disney Studio Chorus,Hercules (Original Motion Picture Soundtrack/Japanese Version),0.729,0.586,5.0,-10.168,1.0,0.104,0.683,0.0,0.305,0.751,117.596,4.0
Entspannender Schlafzimmerklang,198440.0,False,53.0,Weißes Rauschen HD,Weißer Lärm Baby Schlaf (Meeresrauschen),0.138,0.435,2.0,-17.072,0.0,0.0479,0.742,0.986,0.904,1e-05,103.086,4.0
Quiero Decirte,222349.0,False,71.0,Abraham Mateo;Ana Mena,Quiero Decirte,0.751,0.772,4.0,-3.853,1.0,0.0383,0.039,0.0,0.102,0.923,117.941,4.0
Bongo Bong - Original Mix,323657.0,False,41.0,Ed Solo;Deekline,Welcome To The Jungle: The Ultimate Jungle Cakes Drum & Bass Compilation,0.677,0.959,2.0,-3.876,1.0,0.0513,0.00097,0.00332,0.0509,0.818,174.973,4.0
God of the Impossible,283067.0,False,42.0,Lincoln Brewster,God of the Impossible (Deluxe),0.546,0.708,10.0,-6.406,1.0,0.0335,0.0288,0.0,0.133,0.371,121.994,4.0
Colima,245123.0,False,17.0,Stanton Warriors,Colima,0.769,0.968,6.0,-3.894,1.0,0.0505,0.0312,0.772,0.0775,0.255,128.032,4.0
Heart Beat,253747.0,False,20.0,Mavado,Gangsta For Life: The Symphony Of David Brooks,0.793,0.394,4.0,-7.252,0.0,0.0582,0.117,0.0,0.21,0.419,131.974,4.0
Seed of Guards,289091.0,True,0.0,Ekwon,"Born in Shroud, Dead in Womb",0.405,0.928,0.0,-4.422,0.0,0.0622,2.29e-05,0.933,0.508,0.0952,109.913,4.0
All For Love,180485.0,False,59.0,Tungevaag;Raaban;Richard Smitt,All For Love,0.689,0.901,7.0,-1.431,1.0,0.0678,0.145,1.03e-05,0.459,0.651,125.115,4.0
Sixteen Tons,155902.0,False,60.0,Tennessee Ernie Ford,Sixteen Tons,0.667,0.25,11.0,-18.533,1.0,0.217,0.757,0.0,0.25,0.412,144.145,4.0
Feel Good (feat. Daya),248156.0,False,65.0,Gryffin;ILLENIUM;Daya,Feel Good (feat. Daya),0.625,0.707,2.0,-4.761,1.0,0.0337,0.22,0.0,0.213,0.479,138.064,4.0
Kali Kali Zulfon Ke Phande Nah Dalo,706867.0,False,55.0,Nusrat Fateh Ali Khan,Shahen-Shah (Real World Gold),0.436,0.674,10.0,-12.834,1.0,0.0368,0.664,0.0044,0.266,0.752,138.674,3.0
secret base ~君がくれたもの~,295387.0,False,59.0,ZONE,E 〜Complete A side Singles〜,0.49,0.777,6.0,-6.237,1.0,0.0384,0.366,0.0,0.139,0.427,144.81,4.0
"如果可以 - 電影""月老""主題曲",274400.0,False,70.0,WeiBird,"如果可以 (電影""月老""主題曲)",0.54,0.54,3.0,-6.368,1.0,0.029,0.241,0.0,0.351,0.372,74.969,4.0
Leopard Slug - MISSIN Remix,212093.0,False,10.0,Noisia;MISSIN,The Resonance IV,0.662,0.898,6.0,-2.446,1.0,0.412,0.0773,0.256,0.113,0.303,171.922,4.0
Musica para Relajacion Guiada,240963.0,False,24.0,Reiki Armonía,Música Relajante para Reiki - Canciones de Fondo Spa para Tratamiento Ayurvedico,0.167,0.1,9.0,-22.747,1.0,0.0359,0.986,0.962,0.109,0.0349,85.407,4.0
Masterplan (feat. Dynamite MC),159273.0,False,18.0,Krafty Kuts;Dynamite MC,Masterplan EP,0.825,0.89,8.0,-1.508,1.0,0.226,0.094,0.0,0.0712,0.966,110.048,4.0
Tiger Lounge,262338.0,False,12.0,Mr. Fingers,Cerebral Hemispheres,0.85,0.467,4.0,-9.319,0.0,0.0442,0.0217,0.931,0.134,0.559,107.031,4.0
I Was Made for Lovin' You,213280.0,False,3.0,Scooter,We Are the Greatest / I Was Made for Lovin' You,0.634,0.993,9.0,-6.214,0.0,0.0955,0.00139,0.000695,0.0716,0.661,147.356,4.0
YAMAZAKURA,291000.0,False,42.0,Taeko Onuki,Words Bubble Up Like Soda Pop Original Soundtrack,0.673,0.231,4.0,-15.543,1.0,0.0309,0.826,0.0712,0.12,0.432,143.891,4.0
無數,330521.0,False,47.0,Joker Xue,無數,0.582,0.725,8.0,-6.663,0.0,0.0262,0.00804,0.0222,0.252,0.384,93.013,4.0
"March 2, 2002",474773.0,False,0.0,Kiawasch Sahebnassagh,Moments,0.196,0.247,2.0,-20.627,0.0,0.0319,0.954,0.849,0.0584,0.0383,79.289,3.0
It's Alright - Mark Knight Remix - TR441,236098.0,False,12.0,Sterling Void;Paris Brightledge;Mark Knight,Toolroom Radio EP441 - Presented by Mark Knight,0.651,0.949,0.0,-7.657,1.0,0.048,0.267,0.0155,0.138,0.567,123.001,4.0
Sing Out!,325560.0,False,50.0,Nogizaka46,Sing Out!,0.52,0.822,11.0,-4.515,1.0,0.0367,0.489,2.38e-06,0.326,0.7,89.957,4.0
Anaadi Ananta,390017.0,False,41.0,Kailash Kher,Anaadi Ananta,0.502,0.701,8.0,-7.563,1.0,0.0445,0.345,0.000252,0.178,0.165,100.097,4.0
D411,261702.0,False,15.0,Donbor,Bloq Num 11,0.531,0.974,9.0,-6.184,0.0,0.0567,0.00182,0.851,0.372,0.887,188.009,4.0
Rockets,183686.0,False,23.0,The Infamous Stringdusters,Silver Sky,0.526,0.576,4.0,-6.392,1.0,0.0286,0.233,5.58e-05,0.102,0.424,119.924,3.0
Gal Weather,170097.0,False,19.0,Bounty Killer;Konshens;Jonny Blaze,Gal Weather,0.818,0.764,1.0,-4.155,1.0,0.232,0.203,0.0,0.0997,0.63,102.928,4.0
Semblance,227000.0,False,0.0,Ixuol,Abstraction In High Fidelity,0.0762,0.153,4.0,-25.939,0.0,0.0422,0.899,0.921,0.109,0.0636,80.026,4.0
Chip Lock,187200.0,True,22.0,Vybz Kartel,Chip Glock,0.683,0.635,11.0,-5.51,0.0,0.436,0.187,0.00132,0.126,0.368,131.696,5.0
唯一想了解的人 - 《HIStory4-近距離愛上你》LINE TV插曲,221965.0,False,37.0,Andrew Tan,唯一想了解的人,0.614,0.596,10.0,-7.0,1.0,0.0275,0.335,0.0,0.0902,0.446,79.969,4.0
Paisano,238202.0,False,18.0,Nkumba System;Mamani Keïta,Paisano,0.66,0.717,7.0,-10.441,1.0,0.0559,0.407,4.44e-05,0.0536,0.964,165.259,3.0
Rumor Has It / Hangman's Tree,157320.0,False,27.0,Oliver Wallace,Peter Pan (Original Motion Picture Soundtrack),0.424,0.0927,7.0,-21.009,1.0,0.0563,0.645,0.0653,0.134,0.28,86.623,4.0
yami wa hikari no haha,140747.0,False,5.0,Rei Harakami;Ikuko Harada,暗やみの色 Colors of the Dark,0.67,0.0969,10.0,-21.63,0.0,0.803,0.252,0.0,0.21,0.312,103.174,3.0
Dansaki,324572.0,False,48.0,Lara George,Higher,0.701,0.94,4.0,-2.963,1.0,0.0497,0.0619,0.0288,0.0962,0.945,139.497,3.0
There Is A Time - Glenn's Favourite Mix,388693.0,False,9.0,Glenn Underground,The Jerusalem EP's,0.796,0.606,7.0,-14.969,1.0,0.0518,0.00398,0.0919,0.049,0.531,121.895,4.0
Impossível Acreditar Que Perdi Você,224947.0,False,2.0,Zezo,Grandes Sucessos (O Príncipe dos Teclados),0.715,0.434,11.0,-10.32,1.0,0.0501,0.628,0.0,0.0641,0.313,76.05,4.0
