name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Pal - Lofi Flip,263200.0,False,61.0,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),0.616,0.6,7.0,-7.662,0.0,0.0417,0.192,0.046,0.176,0.23,119.944,4.0
Meu Vício É Você,144914.0,False,56.0,Zezo,Zezo (O Príncipe dos Teclados),0.778,0.852,8.0,-2.346,0.0,0.0265,0.567,0.0,0.0968,0.702,111.064,4.0
Meu Vício É Você,144914.0,False,56.0,Zezo,Zezo (O Príncipe dos Teclados),0.778,0.852,8.0,-2.346,0.0,0.0265,0.567,0.0,0.0968,0.702,111.064,4.0
MEU VÍCIO É VOCÊ,144914.0,False,56.0,Zezo,O Príncipe dos Teclados,0.778,0.852,8.0,-2.346,0.0,0.0265,0.567,0.0,0.0968,0.702,111.064,4.0
MEU VÍCIO É VOCÊ,144914.0,False,56.0,Zezo,O Príncipe dos Teclados,0.778,0.852,8.0,-2.346,0.0,0.0265,0.567,0.0,0.0968,0.702,111.064,4.0
Get Get Down - Original Mix,552000.0,False,10.0,Paul Johnson,"Best Of Moody Recordings, Vol. 1",0.906,0.918,5.0,-8.041,0.0,0.0839,0.000146,0.845,0.116,0.51,126.953,4.0
Battle Cry,175200.0,True,26.0,Kraff Gad,Battle Cry,0.87,0.484,7.0,-9.197,1.0,0.118,0.235,0.0,0.0872,0.219,100.116,4.0
Wir Ziehen Heut Abend Auf's Dach,210307.0,False,24.0,Jürgen Drews,Musik Box Teil 1,0.631,0.925,7.0,-5.591,0.0,0.0761,0.627,3.66e-06,0.493,0.799,124.061,4.0
Despot,361800.0,False,19.0,Windir,Likferd,0.318,0.623,2.0,-5.794,0.0,0.0531,1.21e-06,0.935,0.224,0.192,90.051,4.0
Vou Te Procurar,213917.0,False,37.0,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),0.778,0.537,0.0,-8.19,1.0,0.0288,0.0817,7.71e-06,0.635,0.822,128.906,4.0
Isso Aquí Tá Bom Demais,154240.0,False,46.0,Dominguinhos,Nas Costas Do Brasil,0.728,0.802,2.0,-7.717,1.0,0.043,0.256,0.00262,0.314,0.809,139.992,4.0
The Light Tears Apart,256688.0,False,0.0,Shivered,Journey to Fade,0.443,0.932,4.0,-5.086,0.0,0.0715,2.47e-05,0.00178,0.375,0.454,159.935,4.0
i loved you first,227068.0,False,49.0,joan,i loved you first,0.556,0.276,0.0,-9.603,1.0,0.0269,0.0862,6.89e-06,0.0999,0.216,75.02,4.0
Filho de Davi,353987.0,False,50.0,Tony Allysson,Poderoso Deus,0.578,0.635,2.0,-5.335,1.0,0.0278,0.661,0.0,0.138,0.343,137.98,4.0
Homophobia,273819.0,True,0.0,Tension Prophecy,Death Metal From Iran,0.238,0.777,1.0,-5.98,1.0,0.151,0.0106,0.73,0.254,0.156,92.322,4.0
The Remedy,367192.0,True,53.0,Puscifer,Money Shot,0.466,0.759,11.0,-8.148,0.0,0.0311,0.0304,0.0405,0.171,0.659,180.021,5.0
Long Hot Summer Days,288760.0,False,30.0,John Hartford,Mark Twang,0.591,0.177,9.0,-17.299,1.0,0.0811,0.926,0.00106,0.294,0.522,70.959,4.0
Acalma Minha Tempestade,384851.0,False,58.0,Frei Gilson,Eu Vou Crer em Ti,0.538,0.907,10.0,-6.877,1.0,0.0515,0.0567,9.07e-06,0.178,0.345,134.014,4.0
Cloudy Daze - Ham Mix,323928.0,False,24.0,Bang!,Cloudy Daze,0.593,0.588,10.0,-14.42,1.0,0.043,0.00315,0.124,0.0639,0.328,169.857,4.0
La Lola,197320.0,False,50.0,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,0.725,0.764,9.0,-4.393,0.0,0.115,0.0645,0.00885,0.121,0.888,151.985,4.0
Des fissures apparaissent,82747.0,False,24.0,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0.198,0.483,1.0,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0
The Potters Hand,256093.0,False,31.0,Hillsong Worship,Ultimate Worship Vol 1,0.244,0.469,7.0,-6.587,1.0,0.0272,0.368,3.36e-06,0.223,0.182,148.415,4.0
Goodbye (feat. Xillions),155493.0,False,52.0,le Shuuk;Xillions,Goodbye (feat. Xillions),0.689,0.801,1.0,-4.501,0.0,0.122,0.0359,0.000547,0.0743,0.514,142.062,4.0
Summer Wages,269493.0,False,20.0,J.D. Crowe & The New South,J.D. Crowe & the New South,0.585,0.184,11.0,-14.493,1.0,0.0313,0.696,0.000177,0.177,0.509,128.61,4.0
E.C.T. - Ao Vivo,207187.0,False,2.0,Cássia Eller,Acústico (Ao Vivo),0.388,0.882,8.0,-7.109,1.0,0.156,0.212,1.38e-06,0.696,0.624,142.211,4.0
American Car,279293.0,False,17.0,Keller Williams with The Travelin' McCourys,Pick,0.593,0.584,2.0,-6.916,1.0,0.0269,0.577,0.00228,0.203,0.665,96.017,4.0
Blow the Man Down,117907.0,False,42.0,Mickey Mouse;The Gooey Fish,Mickey Mouse Clubhouse,0.725,0.552,2.0,-9.03,1.0,0.027,0.321,0.0,0.101,0.975,97.624,1.0
Beaks of Eagles,262195.0,False,13.0,Kelpe,Fourth: The Golden Eagle,0.723,0.695,10.0,-9.602,0.0,0.0425,0.0512,0.638,0.336,0.583,99.965,4.0
Beaks of Eagles,262195.0,False,13.0,Kelpe,Fourth: The Golden Eagle,0.723,0.695,10.0,-9.602,0.0,0.0425,0.0512,0.638,0.336,0.583,99.965,4.0
