track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2fgiF1ZRANakOdqC0I4Kkj,0.00315,0.593,323928,0.588,0.124,10,0.0639,-14.42,1,0.043,169.857,4,0.328
0VnAETWOc4BCr4YbzfI7zH,0.0645,0.725,197320,0.764,0.00885,9,0.121,-4.393,0,0.115,151.985,4,0.888
1UNoBSP7pkEQq1kb4x1aS3,0.831,0.198,82747,0.483,0.927,1,0.0979,-14.552,1,0.0506,76.592,3,0.234
2yuawbedrb5gRklFPOHN6f,0.368,0.244,256093,0.469,3.36e-06,7,0.223,-6.587,1,0.0272,148.415,4,0.182
0ncgj6yTGzZ4GwX2dbXAKE,0.0359,0.689,155493,0.801,0.000547,1,0.0743,-4.501,0,0.122,142.062,4,0.514
5igjw40Tq2xGnw6MiGXuIn,0.696,0.585,269493,0.184,0.000177,11,0.177,-14.493,1,0.0313,128.61,4,0.509
0Ky9bGGV8qMoq8HBSpbYt4,0.212,0.388,207187,0.882,1.38e-06,8,0.696,-7.109,1,0.156,142.211,4,0.624
4L53zUtZUCrorqVbym0T50,0.577,0.593,279293,0.584,0.00228,2,0.203,-6.916,1,0.0269,96.017,4,0.665
1Mk8jNxnezeqII6nNyMEWg,0.321,0.725,117907,0.552,0,2,0.101,-9.03,1,0.027,97.624,1,0.975
4W5LREYy8mr0tGcuaRTIXm,0.0512,0.723,262195,0.695,0.638,10,0.336,-9.602,0,0.0425,99.965,4,0.583
7juX89alZ9amkn0vPVQrnT,0.901,0.422,181760,0.117,0,11,0.0546,-13.659,1,0.0315,77.202,4,0.231
0gny3oCHB6fKmZ6PoDedRA,0.97,0.205,174748,0.0406,0.979,5,0.143,-30.85,1,0.0462,87.113,3,0.0592
2CnCvYssfRhJ3yDngUcOuJ,0.316,0.649,229053,0.567,0,1,0.397,-5.726,1,0.0314,131.91,4,0.635
1wgIDL5OXIF3IpMrkVSSiR,0.000487,0.602,314183,0.954,0.000916,6,0.363,-4.389,1,0.043,119.961,4,0.185
6N0S1LPNDEjlGOXm1xj4rS,0.0653,0.763,198930,0.623,0,10,0.0282,-5.971,0,0.285,105.963,4,0.8
1ewrD3hYHITiHpwEuQBOSQ,0.843,0.106,427973,0.233,0.876,1,0.141,-23.622,1,0.0391,82.33,3,0.0388
5x72ol5TLUO0ymkQr4JuWB,0.00698,0.704,144987,0.726,0.0151,0,0.167,-5.05,0,0.128,151.972,4,0.726
4HMsQy6myJNy1GoCLsIDDR,0.906,0.654,245232,0.227,2.14e-05,2,0.091,-12.619,1,0.0298,78.155,4,0.373
02kWjlxPQ9g6gsZyLmKiOJ,0.831,0.198,82747,0.483,0.927,1,0.0979,-14.552,1,0.0506,76.592,3,0.234
5kXSNI0ra15eQ5uil3uYOR,7.77e-05,0.468,377218,0.661,0.000738,2,0.0564,-13.254,1,0.0406,127.906,4,0.282
4eWJNtBuAF8RP3hmeNr6GG,8.41e-06,0.685,459389,0.697,0.896,10,0.069,-12.305,0,0.0373,129.999,4,0.148
6eVzeeVQvesYnnRRlFyCns,0.016,0.674,194920,0.914,0,7,0.0402,-3.311,1,0.0467,93.003,4,0.778
19ELA3N8ohiS5jJnNzH9kM,0.261,0.629,171600,0.753,9.5e-06,6,0.0898,-8.356,1,0.0753,98.887,4,0.843
