,0
duration_ms,7.740693653389981
popularity,0.34775809858246076
danceability,-0.6222426526744663
energy,-0.6803548530945246
key,-0.006707023350140374
loudness,-2.0223728753458534
mode,-0.5447111841336185
speechiness,3.120734514937692
acousticness,0.7606254965888177
instrumentalness,0.7768729634355107
liveness,2.0681746794881257
valence,0.20012981870271085
tempo,-0.11991859776758901
features_duration_ms,7.74232348312866
time_signature,-3.883158621024491
n_beats,4.6097396061302165
n_bars,5.294699146302928
popularity_confidence,0.048330116733507844
processing,0.27238601742108626
