,0
duration_ms,161.55757594583622
popularity,-0.6574724836786743
danceability,-0.1352700502037516
energy,-0.46772969416945687
key,-1.2956927604670412
loudness,5.280106273650121
mode,-1.703612721584705
speechiness,13.46273233446078
acousticness,-0.8771407569340552
instrumentalness,-1.2236428558464727
liveness,4.138750175631953
valence,-1.0967086941093942
tempo,0.4262944914493203
features_duration_ms,161.60690862417295
time_signature,21.2169582648142
n_beats,75.45567628539021
n_bars,91.30564244945214
popularity_confidence,-1.2252499736841176
processing,-1.5115152314170073
