consequent,antecedent,abs_support,%_support,confidence,lift
notExplicit,"('unpopular', 'Major', 'veryLowSpeechiness')",3544,23.62666666666667,0.9714912280701754,1.0383617230335351
Major,"('moderateDanceability', 'notExplicit')",3726,24.84,0.768881551795295,1.0380004749283978
notExplicit,"('veryLongDuration', 'veryLowLiveness', 'veryLowSpeechiness')",4094,27.29333333333333,0.9710626185958254,1.0379036111541529
veryLowSpeechiness,"('veryLowAcousticness', 'veryLowLiveness', 'notExplicit')",4248,28.32,0.9412807445158431,1.037872035264455
veryLowSpeechiness,"('veryLowLiveness', 'Major', 'notExplicit')",6454,43.02666666666667,0.9409534917626476,1.0375112008556098
veryLowSpeechiness,"('veryLowInstrumentalness', 'veryLowLiveness', 'notExplicit')",3075,20.5,0.9395050412465628,1.0359141148705118
veryLowSpeechiness,"('veryHighEnergy', 'veryLowAcousticness', 'notExplicit')",4002,26.68,0.9385553470919324,1.0348669660672587
notExplicit,"('veryLongDuration', 'veryLowLiveness', 'Major')",3119,20.793333333333333,0.9674317617866005,1.034022832178923
Major,"(nan,)",3909,26.06,0.7655699177438308,1.033529724251414
veryLowSpeechiness,"('veryLowLiveness', 'notExplicit')",8658,57.720000000000006,0.9363036660538553,1.032384224552178
notExplicit,"('unpopular', 'veryLowSpeechiness')",4541,30.273333333333337,0.9657592513823905,1.032235198142786
veryLowSpeechiness,"('veryLowInstrumentalness', 'Major', 'notExplicit')",3674,24.493333333333332,0.9360509554140127,1.0321055815355917
notExplicit,"('veryLongDuration', 'veryLowLiveness')",4250,28.333333333333332,0.9654702407996365,1.0319262941424077
veryLowSpeechiness,"('veryHighEnergy', 'veryLowAcousticness', 'Major', 'notExplicit')",2874,19.16,0.9358515141647672,1.0318856742481262
Major,"('moderateDanceability',)",3931,26.206666666666667,0.7641912908242613,1.0316685592983457
veryLowSpeechiness,"('veryLowInstrumentalness', 'notExplicit')",4912,32.74666666666667,0.9356190476190476,1.0316293527113873
veryLowSpeechiness,"('moderateDanceability', 'Major')",3677,24.513333333333335,0.9353853981175273,1.0313717268276177
veryLowSpeechiness,"('veryUnpopular', 'veryLowLiveness', 'notExplicit')",3672,24.48,0.935303107488538,1.0312809917912429
veryLowSpeechiness,"('veryLowInstrumentalness', 'veryLowAcousticness', 'notExplicit')",2808,18.72,0.935064935064935,1.0310183788572498
veryLowSpeechiness,"('unpopular', 'veryLowLiveness', 'notExplicit')",2872,19.14666666666667,0.9345916042954767,1.0304964763622575
notExplicit,"('veryLowLiveness', 'Major', 'veryLowSpeechiness')",6454,43.02666666666667,0.9637150963117814,1.030050338084418
Major,"('moderateDanceability', 'veryLowLiveness')",2382,15.879999999999999,0.7629724535554132,1.0300231125309331
notExplicit,"('highDanceability', 'Major', 'veryLowSpeechiness')",3586,23.906666666666666,0.9634605051047824,1.029778222642991
notExplicit,"('veryLongDuration', 'veryLowSpeechiness')",6040,40.266666666666666,0.9631637697336948,1.0294610621352018
veryLowSpeechiness,"('moderateDanceability', 'veryLowLiveness')",2914,19.426666666666666,0.9333760409993593,1.0291561757564238
notExplicit,"('highDanceability', 'veryLowLiveness', 'veryLowSpeechiness')",3521,23.473333333333333,0.9628110473065354,1.0290840608235736
notExplicit,"('veryLongDuration', 'Major', 'veryLowSpeechiness')",4465,29.76666666666667,0.9624919163612847,1.0287429631907703
notExplicit,"('veryUnpopular', 'veryLowLiveness', 'veryLowSpeechiness')",3672,24.48,0.9622641509433962,1.0284995200335574
notExplicit,"('moderateDanceability', 'Major', 'veryLowSpeechiness')",3536,23.57333333333333,0.9616535218928475,1.027846859654604
veryLowSpeechiness,"('veryLowAcousticness', 'notExplicit')",6881,45.873333333333335,0.9321322134922785,1.027784710554556
veryLowSpeechiness,"('veryLowAcousticness', 'Major', 'notExplicit')",4946,32.97333333333333,0.9319766346335029,1.0276131666791049
notExplicit,"('veryLowLiveness', 'veryLowSpeechiness')",8658,57.720000000000006,0.9607190412782957,1.0268480560905255
notExplicit,"('highDanceability', 'veryLowSpeechiness')",4960,33.06666666666666,0.9606817741623087,1.0268082237733098
veryLowSpeechiness,"('Major', 'notExplicit')",9724,64.82666666666667,0.9307044410413476,1.0262104245530883
veryLowSpeechiness,"('unpopular', 'Major', 'notExplicit')",3544,23.62666666666667,0.930672268907563,1.026174951015396
notExplicit,"('moderateDanceability', 'veryLowSpeechiness')",4566,30.44,0.9592436974789916,1.0252711601955875
veryLowSpeechiness,"('highDanceability', 'veryLowLiveness', 'notExplicit')",3521,23.473333333333333,0.9297597042513863,1.0251687418237867
veryLowSpeechiness,"('veryHighEnergy', 'notExplicit')",4861,32.406666666666666,0.9296232549244597,1.0250182904930092
Major,"(nan, 'veryLowLiveness')",2390,15.933333333333334,0.7592121982210928,1.0249467170656459
notExplicit,"('Major', 'veryLowSpeechiness')",9724,64.82666666666667,0.9584072540902819,1.0243771420374967
notExplicit,"('veryLongDuration', 'Major')",4683,31.22,0.9580605564648118,1.0240065802317355
