consequent,antecedent,abs_support,%_support,confidence,lift
notExplicit,"('veryLowInstrumentalness', 'veryLowLiveness')",3273,21.82,0.9340753424657534,0.9983703959659613
notExplicit,"('veryLowAcousticness', 'Major', 'veryLowSpeechiness')",4946,32.97333333333333,0.9330315034899076,0.9972547065945998
notExplicit,"('veryLowInstrumentalness', 'Major')",3925,26.166666666666664,0.9323040380047506,0.996477167598066
notExplicit,"('veryUnpopular', 'Major')",4280,28.53333333333333,0.9318528195079469,0.9959948904531284
notExplicit,"('highDanceability', 'veryLowAcousticness')",2953,19.686666666666667,0.9300787401574803,0.994098696192262
notExplicit,"('veryHighEnergy', 'veryLowSpeechiness')",4861,32.406666666666666,0.9299789554237612,0.9939920429924768
notExplicit,"('veryUnpopular',)",5926,39.50666666666667,0.928985734441135,0.9929304557942871
notExplicit,"('veryHighEnergy', 'Major', 'veryLowSpeechiness')",3494,23.293333333333333,0.9260535382984363,0.9897964282796454
notExplicit,"('veryLowInstrumentalness',)",5250,35.0,0.9257626520895785,0.9894855195485021
notExplicit,"('veryLowAcousticness', 'veryLowLiveness')",4513,30.086666666666666,0.924037674037674,0.9876418063677577
notExplicit,"('longDuration', 'Major')",3183,21.22,0.9239477503628447,0.9875456929914971
notExplicit,"('veryLowAcousticness', 'veryLowLiveness', 'Major')",3208,21.386666666666667,0.9228998849252014,0.9864257000055594
notExplicit,"('Minor',)",3586,23.906666666666666,0.9220879403445615,0.985557866977941
notExplicit,"(nan, 'Major')",3603,24.02,0.9217191097467383,0.9851636487246027
notExplicit,"('veryHighEnergy', 'veryLowAcousticness', 'veryLowSpeechiness')",4002,26.68,0.9208467556373677,0.9842312480091574
notExplicit,"('lowLiveness',)",3158,21.05333333333333,0.9206997084548105,0.984074079152213
notExplicit,"('highEnergy',)",3379,22.526666666666667,0.920457640969763,0.9838153494760186
notExplicit,"('veryHighEnergy', 'veryLowLiveness')",2757,18.38,0.9177762982689747,0.9809494423567494
notExplicit,"('veryLowInstrumentalness', 'veryLowAcousticness', 'veryLowSpeechiness')",2808,18.72,0.9176470588235294,0.980811306993939
notExplicit,"('veryHighEnergy', 'veryLowAcousticness', 'Major', 'veryLowSpeechiness')",2874,19.16,0.9164540816326531,0.9795362138014676
notExplicit,"('longDuration',)",4241,28.273333333333333,0.9163785652549697,0.9794554994174538
notExplicit,"('veryUnpopular', 'veryLowAcousticness')",3674,24.493333333333332,0.9162094763092269,0.9792747716002853
notExplicit,"('veryLowAcousticness',)",7382,49.21333333333333,0.9157672745316958,0.978802131820966
notExplicit,"('veryLowAcousticness', 'Major')",5307,35.38,0.9154735207866138,0.9784881581729519
notExplicit,"('veryHighEnergy',)",5229,34.86,0.9120879120879121,0.9748695084308594
notExplicit,"(nan,)",4646,30.973333333333336,0.9099099099099099,0.9725415881893009
notExplicit,"('veryHighEnergy', 'Major')",3766,25.106666666666666,0.9098816139164049,0.9725113445023567
notExplicit,"('veryHighEnergy', 'veryLowAcousticness')",4264,28.426666666666666,0.9051156866907238,0.9674173649964983
notExplicit,"('veryLowInstrumentalness', 'veryLowAcousticness')",3003,20.02,0.9031578947368422,0.9653248126729822
notExplicit,"(nan, 'veryLowLiveness')",2841,18.94,0.9024777636594663,0.9645978662456887
notExplicit,"('veryHighEnergy', 'veryLowAcousticness', 'Major')",3071,20.473333333333333,0.9019089574155653,0.9639899074557133
